time [s],pos_x [m],pos_y [m],pos_z [m],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg]
0.0,-2.82,0.3,-6.93889e-18,0.101215,0.0145949,0.000871636,0.089583
0.0,-2.82,0.3,0.08,0.101215,0.0145949,0.000871636,0.089583
0.0,-2.82,0.3,0.16,0.101215,0.0145949,0.000871636,0.089583
0.0,-2.82,0.42,-0.16,0.101215,0.0125703,0.000679585,0.081094
0.0,-2.82,0.42,-0.08,0.101215,0.0125703,0.000679585,0.081094
0.0,-2.82,0.42,-6.93889e-18,0.101215,0.0125703,0.000679585,0.081094
0.0,-2.82,0.42,0.08,0.101215,0.0125703,0.000679585,0.081094
0.0,-2.82,0.42,0.16,0.101215,0.0125703,0.000679585,0.081094
0.0,-2.82,0.54,-0.16,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.82,0.54,-0.08,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.82,0.54,-6.93889e-18,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.82,0.54,0.08,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.82,0.54,0.16,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.82,0.66,-0.16,0.101215,0.00724063,0.000270994,0.0561404
0.0,-2.82,0.66,-0.08,0.101215,0.00724063,0.000270994,0.0561404
0.0,-2.82,0.66,-6.93889e-18,0.101215,0.00724063,0.000270994,0.0561404
0.0,-2.82,0.66,0.08,0.101215,0.00724063,0.000270994,0.0561404
0.0,-2.82,0.66,0.16,0.101215,0.00724063,0.000270994,0.0561404
0.0,-2.82,0.78,-0.16,0.101215,0.00434148,0.000115539,0.0399193
0.0,-2.82,0.78,-0.08,0.101215,0.00434148,0.000115539,0.0399193
0.0,-2.82,0.78,-6.93889e-18,0.101215,0.00434148,0.000115539,0.0399193
0.0,-2.82,0.78,0.08,0.101215,0.00434148,0.000115539,0.0399193
0.0,-2.82,0.78,0.16,0.101215,0.00434148,0.000115539,0.0399193
0.0,-2.82,0.9,-0.16,0.101215,0.00170383,2.43057e-05,0.0213981
0.0,-2.82,0.9,-0.08,0.101215,0.00170383,2.43057e-05,0.0213981
0.0,-2.82,0.9,-6.93889e-18,0.101215,0.00170383,2.43057e-05,0.0213981
0.0,-2.82,0.9,0.08,0.101215,0.00170383,2.43057e-05,0.0213981
0.0,-2.82,0.9,0.16,0.101215,0.00170383,2.43057e-05,0.0213981
0.0,-2.82,1.02,-0.16,0.101215,1.10239e-05,5.46043e-09,0.000742989
0.0,-2.82,1.02,-0.08,0.101215,1.10239e-05,5.46043e-09,0.000742989
0.0,-2.82,1.02,-6.93889e-18,0.101215,1.10239e-05,5.46043e-09,0.000742989
0.0,-2.82,1.02,0.08,0.101215,1.10239e-05,5.46043e-09,0.000742989
0.0,-2.82,1.02,0.16,0.101215,1.10239e-05,5.46043e-09,0.000742989
0.0,-2.7,-1.26,-0.16,0.101215,0.000628304,4.6091e-06,0.0110037
0.0,-2.7,-1.26,-0.08,0.101215,0.000628304,4.6091e-06,0.0110037
0.0,-2.7,-1.26,-6.93889e-18,0.101215,0.000628304,4.6091e-06,0.0110037
0.0,-2.7,-1.26,0.08,0.101215,0.000628304,4.6091e-06,0.0110037
0.0,-2.7,-1.26,0.16,0.101215,0.000628304,4.6091e-06,0.0110037
0.0,-2.7,-1.14,-0.16,0.101215,0.00391293,9.71637e-05,0.0372471
0.0,-2.7,-1.14,-0.08,0.101215,0.00391293,9.71637e-05,0.0372471
0.0,-2.7,-1.14,-6.93889e-18,0.101215,0.00391293,9.71637e-05,0.0372471
0.0,-2.7,-1.14,0.08,0.101215,0.00391293,9.71637e-05,0.0372471
0.0,-2.7,-1.14,0.16,0.101215,0.00391293,9.71637e-05,0.0372471
0.0,-2.7,-1.02,-0.16,0.101215,0.00832623,0.000342043,0.0616202
0.0,-2.7,-1.02,-0.08,0.101215,0.00832623,0.000342043,0.0616202
0.0,-2.7,-1.02,-6.93889e-18,0.101215,0.00832623,0.000342043,0.0616202
0.0,-2.7,-1.02,0.08,0.101215,0.00832623,0.000342043,0.0616202
0.0,-2.7,-1.02,0.16,0.101215,0.00832623,0.000342043,0.0616202
0.0,-2.7,-0.9,-0.16,0.101215,0.0132317,0.000740215,0.083914
0.0,-2.7,-0.9,-0.08,0.101215,0.0132317,0.000740215,0.083914
0.0,-2.7,-0.9,-6.93889e-18,0.101215,0.0132317,0.000740215,0.083914
0.0,-2.7,-0.9,0.08,0.101215,0.0132317,0.000740215,0.083914
0.0,-2.7,-0.9,0.16,0.101215,0.0132317,0.000740215,0.083914
0.0,-2.7,-0.78,-0.16,0.101215,0.018237,0.00126354,0.103927
0.0,-2.7,-0.78,-0.08,0.101215,0.018237,0.00126354,0.103927
0.0,-2.7,-0.78,-6.93889e-18,0.101215,0.018237,0.00126354,0.103927
0.0,-2.7,-0.78,0.08,0.101215,0.018237,0.00126354,0.103927
0.0,-2.7,-0.78,0.16,0.101215,0.018237,0.00126354,0.103927
0.0,-2.7,-0.66,-0.16,0.101215,0.0230443,0.00186612,0.12147
0.0,-2.7,-0.66,-0.08,0.101215,0.0230443,0.00186612,0.12147
0.0,-2.7,-0.66,-6.93889e-18,0.101215,0.0230443,0.00186612,0.12147
0.0,-2.7,-0.66,0.08,0.101215,0.0230443,0.00186612,0.12147
0.0,-2.7,-0.66,0.16,0.101215,0.0230443,0.00186612,0.12147
0.0,-2.7,-0.54,-0.16,0.101215,0.0274124,0.00249217,0.136371
0.0,-2.7,-0.54,-0.08,0.101215,0.0274124,0.00249217,0.136371
0.0,-2.7,-0.54,-6.93889e-18,0.101215,0.0274124,0.00249217,0.136371
0.0,-2.7,-0.54,0.08,0.101215,0.0274124,0.00249217,0.136371
0.0,-2.7,-0.54,0.16,0.101215,0.0274124,0.00249217,0.136371
0.0,-2.7,-0.42,-0.16,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.7,-0.42,-0.08,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.7,-0.42,-6.93889e-18,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.7,-0.42,0.08,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.7,-0.42,0.16,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.7,-0.3,-0.16,0.101215,0.0340815,0.00358259,0.157678
0.0,-2.7,-0.3,-0.08,0.101215,0.0340815,0.00358259,0.157678
0.0,-2.7,-0.3,-6.93889e-18,0.101215,0.0340815,0.00358259,0.157678
0.0,-2.7,-0.3,0.08,0.101215,0.0340815,0.00358259,0.157678
0.0,-2.7,-0.3,0.16,0.101215,0.0340815,0.00358259,0.157678
0.0,-2.7,-0.18,-0.16,0.101215,0.0361063,0.00394431,0.163863
0.0,-2.7,-0.18,-0.08,0.101215,0.0361063,0.00394431,0.163863
0.0,-2.7,-0.18,-6.93889e-18,0.101215,0.0361063,0.00394431,0.163863
0.0,-2.7,-0.18,0.08,0.101215,0.0361063,0.00394431,0.163863
0.0,-2.7,-0.18,0.16,0.101215,0.0361063,0.00394431,0.163863
0.0,-2.7,-0.06,-0.16,0.101215,0.0371387,0.00413407,0.166972
0.0,-2.7,-0.06,-0.08,0.101215,0.0371387,0.00413407,0.166972
0.0,-2.7,-0.06,-6.93889e-18,0.101215,0.0371387,0.00413407,0.166972
0.0,-2.7,-0.06,0.08,0.101215,0.0371387,0.00413407,0.166972
0.0,-2.7,-0.06,0.16,0.101215,0.0371387,0.00413407,0.166972
0.0,-2.7,0.06,-0.16,0.101215,0.0371387,0.00413407,0.166972
0.0,-2.7,0.06,-0.08,0.101215,0.0371387,0.00413407,0.166972
0.0,-2.7,0.06,-6.93889e-18,0.101215,0.0371387,0.00413407,0.166972
0.0,-2.7,0.06,0.08,0.101215,0.0371387,0.00413407,0.166972
0.0,-2.7,0.06,0.16,0.101215,0.0371387,0.00413407,0.166972
0.0,-2.7,0.18,-0.16,0.101215,0.0361063,0.00394431,0.163863
0.0,-2.7,0.18,-0.08,0.101215,0.0361063,0.00394431,0.163863
0.0,-2.7,0.18,-6.93889e-18,0.101215,0.0361063,0.00394431,0.163863
0.0,-2.7,0.18,0.08,0.101215,0.0361063,0.00394431,0.163863
0.0,-2.7,0.18,0.16,0.101215,0.0361063,0.00394431,0.163863
0.0,-2.7,0.3,-0.16,0.101215,0.0340815,0.00358259,0.157678
0.0,-2.7,0.3,-0.08,0.101215,0.0340815,0.00358259,0.157678
0.0,-2.7,0.3,-6.93889e-18,0.101215,0.0340815,0.00358259,0.157678
0.0,-2.7,0.3,0.08,0.101215,0.0340815,0.00358259,0.157678
0.0,-2.7,0.3,0.16,0.101215,0.0340815,0.00358259,0.157678
0.0,-2.7,0.42,-0.16,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.7,0.42,-0.08,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.7,0.42,-6.93889e-18,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.7,0.42,0.08,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.7,0.42,0.16,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.7,0.54,-0.16,0.101215,0.0274124,0.00249217,0.136371
0.0,-2.7,0.54,-0.08,0.101215,0.0274124,0.00249217,0.136371
0.0,-2.7,0.54,-6.93889e-18,0.101215,0.0274124,0.00249217,0.136371
0.0,-2.7,0.54,0.08,0.101215,0.0274124,0.00249217,0.136371
0.0,-2.7,0.54,0.16,0.101215,0.0274124,0.00249217,0.136371
0.0,-2.7,0.66,-0.16,0.101215,0.0230443,0.00186612,0.12147
0.0,-2.7,0.66,-0.08,0.101215,0.0230443,0.00186612,0.12147
0.0,-2.7,0.66,-6.93889e-18,0.101215,0.0230443,0.00186612,0.12147
0.0,-2.7,0.66,0.08,0.101215,0.0230443,0.00186612,0.12147
0.0,-2.7,0.66,0.16,0.101215,0.0230443,0.00186612,0.12147
0.0,-2.7,0.78,-0.16,0.101215,0.018237,0.00126354,0.103927
0.0,-2.7,0.78,-0.08,0.101215,0.018237,0.00126354,0.103927
0.0,-2.7,0.78,-6.93889e-18,0.101215,0.018237,0.00126354,0.103927
0.0,-2.7,0.78,0.08,0.101215,0.018237,0.00126354,0.103927
0.0,-2.7,0.78,0.16,0.101215,0.018237,0.00126354,0.103927
0.0,-2.7,0.9,-0.16,0.101215,0.0132317,0.000740215,0.083914
0.0,-2.7,0.9,-0.08,0.101215,0.0132317,0.000740215,0.083914
0.0,-2.7,0.9,-6.93889e-18,0.101215,0.0132317,0.000740215,0.083914
0.0,-2.7,0.9,0.08,0.101215,0.0132317,0.000740215,0.083914
0.0,-2.7,0.9,0.16,0.101215,0.0132317,0.000740215,0.083914
0.0,-2.7,1.02,-0.16,0.101215,0.00832623,0.000342043,0.0616202
0.0,-2.7,1.02,-0.08,0.101215,0.00832623,0.000342043,0.0616202
0.0,-2.7,1.02,-6.93889e-18,0.101215,0.00832623,0.000342043,0.0616202
0.0,-2.7,1.02,0.08,0.101215,0.00832623,0.000342043,0.0616202
0.0,-2.7,1.02,0.16,0.101215,0.00832623,0.000342043,0.0616202
0.0,-2.7,1.14,-0.16,0.101215,0.00391293,9.71637e-05,0.0372471
0.0,-2.7,1.14,-0.08,0.101215,0.00391293,9.71637e-05,0.0372471
0.0,-2.7,1.14,-6.93889e-18,0.101215,0.00391293,9.71637e-05,0.0372471
0.0,-2.7,1.14,0.08,0.101215,0.00391293,9.71637e-05,0.0372471
0.0,-2.7,1.14,0.16,0.101215,0.00391293,9.71637e-05,0.0372471
0.0,-2.7,1.26,-0.16,0.101215,0.000628304,4.6091e-06,0.0110037
0.0,-2.7,1.26,-0.08,0.101215,0.000628304,4.6091e-06,0.0110037
0.0,-2.7,1.26,-6.93889e-18,0.101215,0.000628304,4.6091e-06,0.0110037
0.0,-2.7,1.26,0.08,0.101215,0.000628304,4.6091e-06,0.0110037
0.0,-2.7,1.26,0.16,0.101215,0.000628304,4.6091e-06,0.0110037
0.0,-2.58,-1.5,-0.16,0.101215,0.000421019,2.36503e-06,0.00842609
0.0,-2.58,-1.5,-0.08,0.101215,0.000421019,2.36503e-06,0.00842609
0.0,-2.58,-1.5,-6.93889e-18,0.101215,0.000421019,2.36503e-06,0.00842609
0.0,-2.58,-1.5,0.08,0.101215,0.000421019,2.36503e-06,0.00842609
0.0,-2.58,-1.5,0.16,0.101215,0.000421019,2.36503e-06,0.00842609
0.0,-2.58,-1.38,-0.16,0.101215,0.00434148,0.000115539,0.0399193
0.0,-2.58,-1.38,-0.08,0.101215,0.00434148,0.000115539,0.0399193
0.0,-2.58,-1.38,-6.93889e-18,0.101215,0.00434148,0.000115539,0.0399193
0.0,-2.58,-1.38,0.08,0.101215,0.00434148,0.000115539,0.0399193
0.0,-2.58,-1.38,0.16,0.101215,0.00434148,0.000115539,0.0399193
0.0,-2.58,-1.26,-0.16,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.58,-1.26,-0.08,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.58,-1.26,-6.93889e-18,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.58,-1.26,0.08,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.58,-1.26,0.16,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.58,-1.14,-0.16,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.58,-1.14,-0.08,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.58,-1.14,-6.93889e-18,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.58,-1.14,0.08,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.58,-1.14,0.16,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.58,-1.02,-0.16,0.101215,0.0238916,0.00198188,0.124429
0.0,-2.58,-1.02,-0.08,0.101215,0.0238916,0.00198188,0.124429
0.0,-2.58,-1.02,-6.93889e-18,0.101215,0.0238916,0.00198188,0.124429
0.0,-2.58,-1.02,0.08,0.101215,0.0238916,0.00198188,0.124429
0.0,-2.58,-1.02,0.16,0.101215,0.0238916,0.00198188,0.124429
0.0,-2.58,-0.9,-0.16,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.58,-0.9,-0.08,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.58,-0.9,-6.93889e-18,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.58,-0.9,0.08,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.58,-0.9,0.16,0.101215,0.0311439,0.00308287,0.148482
0.0,-2.58,-0.78,-0.16,0.101215,0.0381845,0.00432991,0.170092
0.0,-2.58,-0.78,-0.08,0.101215,0.0381845,0.00432991,0.170092
0.0,-2.58,-0.78,-6.93889e-18,0.101215,0.0381845,0.00432991,0.170092
0.0,-2.58,-0.78,0.08,0.101215,0.0381845,0.00432991,0.170092
0.0,-2.58,-0.78,0.16,0.101215,0.0381845,0.00432991,0.170092
0.0,-2.58,-0.66,-0.16,0.101215,0.0447423,0.00563893,0.189047
0.0,-2.58,-0.66,-0.08,0.101215,0.0447423,0.00563893,0.189047
0.0,-2.58,-0.66,-6.93889e-18,0.101215,0.0447423,0.00563893,0.189047
0.0,-2.58,-0.66,0.08,0.101215,0.0447423,0.00563893,0.189047
0.0,-2.58,-0.66,0.16,0.101215,0.0447423,0.00563893,0.189047
