pos_x,pos_y,vel_x,vel_y,acc_x,acc_y,mass,dens,pres,ene,sml,id
-1.76978,0.151696,0,0,0,0,0.791139,41.3185,37110.8,1347.25,0.166049,35
-1.7801,0.2543,0,0,0,0,0.791139,40.0085,35170.7,1318.62,0.168745,36
-1.79632,0.359264,0,0,0,0,0.791139,38.0181,32303,1274.51,0.173106,37
-1.81951,0.467873,0,0,0,0,0.791139,35.3118,28562.3,1213.29,0.179617,38
-1.85151,0.581903,0,0,0,0,0.791139,31.8302,24024.8,1132.17,0.189186,39
-1.89562,0.704088,0,0,0,0,0.791139,27.4725,18797.1,1026.32,0.203638,40
-1.9585,0.839355,0,0,0,0,0.791139,22.0472,13027.1,886.313,0.227317,41
-2.05718,0.999203,0,0,0,0,0.791139,15.1079,6938.5,688.896,0.274604,42
-2.28529,1.24059,0,0,0,0,0.791139,4.63393,967.927,313.317,0.49583,43
-1.97059,-1.25401,0,0,0,0,0.791139,13.1654,5516.32,628.503,0.294165,44
-1.84658,-1.06318,0,0,0,0,0.791139,22.0472,13027.1,886.313,0.227317,45
-1.77267,-0.913193,0,0,0,0,0.791139,28.9501,20512.1,1062.8,0.198373,46
-1.7213,-0.782407,0,0,0,0,0.791139,34.6249,27642.4,1197.51,0.18139,47
-1.68338,-0.663149,0,0,0,0,0.791139,39.3487,34209.3,1304.08,0.170154,48
-1.65469,-0.551564,0,0,0,0,0.791139,43.2604,40063.1,1389.14,0.162279,49
-1.63292,-0.445341,0,0,0,0,0.791139,46.4409,45091.5,1456.42,0.156624,50
-1.61667,-0.34293,0,0,0,0,0.791139,48.9406,49208.8,1508.22,0.152571,51
-1.6051,-0.243196,0,0,0,0,0.791139,50.7917,52349.7,1546.01,0.149765,52
-1.59764,-0.14524,0,0,0,0,0.791139,52.0154,54468.7,1570.75,0.147993,53
-1.59399,-0.0483026,0,0,0,0,0.791139,52.6244,55535.7,1582.98,0.147134,54
-1.59399,0.0483026,0,0,0,0,0.791139,52.6244,55535.7,1582.98,0.147134,55
-1.59764,0.14524,0,0,0,0,0.791139,52.0154,54468.7,1570.75,0.147993,56
-1.6051,0.243196,0,0,0,0,0.791139,50.7917,52349.7,1546.01,0.149765,57
-1.61667,0.34293,0,0,0,0,0.791139,48.9406,49208.8,1508.22,0.152571,58
-1.63292,0.445341,0,0,0,0,0.791139,46.4409,45091.5,1456.42,0.156624,59
-1.65469,0.551564,0,0,0,0,0.791139,43.2604,40063.1,1389.14,0.162279,60
-1.68338,0.663149,0,0,0,0,0.791139,39.3487,34209.3,1304.08,0.170154,61
-1.7213,0.782407,0,0,0,0,0.791139,34.6249,27642.4,1197.51,0.18139,62
-1.77267,0.913193,0,0,0,0,0.791139,28.9501,20512.1,1062.8,0.198373,63
-1.84658,1.06318,0,0,0,0,0.791139,22.0472,13027.1,886.313,0.227317,64
-1.97059,1.25401,0,0,0,0,0.791139,13.1654,5516.32,628.503,0.294165,65
-2.02412,-1.63235,0,0,0,0,0.791139,4.63393,967.927,313.317,0.49583,66
-1.785,-1.32436,0,0,0,0,0.791139,17.8375,9151.35,769.558,0.25272,67
-1.68617,-1.14224,0,0,0,0,0.791139,26.7228,17950,1007.56,0.206475,68
-1.62251,-0.994442,0,0,0,0,0.791139,33.9334,26728.4,1181.51,0.183229,69
-1.57666,-0.86462,0,0,0,0,0.791139,40.0085,35170.7,1318.62,0.168745,70
-1.54194,-0.746099,0,0,0,0,0.791139,45.1766,43064.2,1429.86,0.1588,71
-1.51502,-0.635329,0,0,0,0,0.791139,49.5597,50250.7,1520.91,0.151615,72
-1.494,-0.530128,0,0,0,0,0.791139,53.2313,56607.3,1595.13,0.146293,73
-1.4777,-0.42901,0,0,0,0,0.791139,56.2391,62038,1654.67,0.142327,74
-1.46537,-0.330889,0,0,0,0,0.791139,58.6148,66466.9,1700.94,0.139413,75
-1.45648,-0.234916,0,0,0,0,0.791139,60.3804,69837.3,1734.93,0.13736,76
-1.45073,-0.140393,0,0,0,0,0.791139,61.5501,72106.5,1757.27,0.136048,77
-1.44789,-0.0467063,0,0,0,0,0.791139,62.1328,73247.9,1768.34,0.135409,78
-1.44789,0.0467063,0,0,0,0,0.791139,62.1328,73247.9,1768.34,0.135409,79
-1.45073,0.140393,0,0,0,0,0.791139,61.5501,72106.5,1757.27,0.136048,80
-1.45648,0.234916,0,0,0,0,0.791139,60.3804,69837.3,1734.93,0.13736,81
-1.46537,0.330889,0,0,0,0,0.791139,58.6148,66466.9,1700.94,0.139413,82
-1.4777,0.42901,0,0,0,0,0.791139,56.2391,62038,1654.67,0.142327,83
-1.494,0.530128,0,0,0,0,0.791139,53.2313,56607.3,1595.13,0.146293,84
-1.51502,0.635329,0,0,0,0,0.791139,49.5597,50250.7,1520.91,0.151615,85
-1.54194,0.746099,0,0,0,0,0.791139,45.1766,43064.2,1429.86,0.1588,86
-1.57666,0.86462,0,0,0,0,0.791139,40.0085,35170.7,1318.62,0.168745,87
-1.62251,0.994442,0,0,0,0,0.791139,33.9334,26728.4,1181.51,0.183229,88
-1.68617,1.14224,0,0,0,0,0.791139,26.7228,17950,1007.56,0.206475,89
-1.785,1.32436,0,0,0,0,0.791139,17.8375,9151.35,769.558,0.25272,90
-2.02412,1.63235,0,0,0,0,0.791139,4.63393,967.927,313.317,0.49583,91
-1.82743,-1.7014,0,0,0,0,0.791139,7.5512,2184.17,433.873,0.388418,92
-1.64032,-1.41407,0,0,0,0,0.791139,20.4049,11450.4,841.734,0.236287,93
