pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,mass,dens,pres,ene,sml,id
-2.85938,-0.234375,0,0,0,0,0,0,0,0.0619579,0.00624431,0.000211742,0.0508644,3.03102e-314,97
-2.85938,-0.234375,0.08,0,0,0,0,0,0,0.0619579,0.00624431,0.000211742,0.0508644,3.03102e-314,98
-2.85938,-0.234375,0.16,0,0,0,0,0,0,0.0619579,0.00624431,0.000211742,0.0508644,3.03102e-314,99
-2.85938,-0.140625,-0.16,0,0,0,0,0,0,0.0619579,0.00670867,0.000238631,0.0533559,3.03102e-314,100
-2.85938,-0.140625,-0.08,0,0,0,0,0,0,0.0619579,0.00670867,0.000238631,0.0533559,3.03102e-314,101
-2.85938,-0.140625,0,0,0,0,0,0,0,0.0619579,0.00670867,0.000238631,0.0533559,3.03102e-314,102
-2.85938,-0.140625,0.08,0,0,0,0,0,0,0.0619579,0.00670867,0.000238631,0.0533559,3.03102e-314,103
-2.85938,-0.140625,0.16,0,0,0,0,0,0,0.0619579,0.00670867,0.000238631,0.0533559,3.03102e-314,104
-2.85938,-0.046875,-0.16,0,0,0,0,0,0,0.0619579,0.00694609,0.000252872,0.0546074,3.03102e-314,105
-2.85938,-0.046875,-0.08,0,0,0,0,0,0,0.0619579,0.00694609,0.000252872,0.0546074,3.03102e-314,106
-2.85938,-0.046875,0,0,0,0,0,0,0,0.0619579,0.00694609,0.000252872,0.0546074,3.03102e-314,107
-2.85938,-0.046875,0.08,0,0,0,0,0,0,0.0619579,0.00694609,0.000252872,0.0546074,3.03102e-314,108
-2.85938,-0.046875,0.16,0,0,0,0,0,0,0.0619579,0.00694609,0.000252872,0.0546074,3.03102e-314,109
-2.85938,0.046875,-0.16,0,0,0,0,0,0,0.0619579,0.00694609,0.000252872,0.0546074,3.03102e-314,110
-2.85938,0.046875,-0.08,0,0,0,0,0,0,0.0619579,0.00694609,0.000252872,0.0546074,3.03102e-314,111
-2.85938,0.046875,0,0,0,0,0,0,0,0.0619579,0.00694609,0.000252872,0.0546074,3.03102e-314,112
-2.85938,0.046875,0.08,0,0,0,0,0,0,0.0619579,0.00694609,0.000252872,0.0546074,3.03102e-314,113
-2.85938,0.046875,0.16,0,0,0,0,0,0,0.0619579,0.00694609,0.000252872,0.0546074,3.03102e-314,114
-2.85938,0.140625,-0.16,0,0,0,0,0,0,0.0619579,0.00670867,0.000238631,0.0533559,3.03102e-314,115
-2.85938,0.140625,-0.08,0,0,0,0,0,0,0.0619579,0.00670867,0.000238631,0.0533559,3.03102e-314,116
-2.85938,0.140625,0,0,0,0,0,0,0,0.0619579,0.00670867,0.000238631,0.0533559,3.03102e-314,117
-2.85938,0.140625,0.08,0,0,0,0,0,0,0.0619579,0.00670867,0.000238631,0.0533559,3.03102e-314,118
-2.85938,0.140625,0.16,0,0,0,0,0,0,0.0619579,0.00670867,0.000238631,0.0533559,3.03102e-314,119
-2.85938,0.234375,-0.16,0,0,0,0,0,0,0.0619579,0.00624431,0.000211742,0.0508644,3.03102e-314,120
-2.85938,0.234375,-0.08,0,0,0,0,0,0,0.0619579,0.00624431,0.000211742,0.0508644,3.03102e-314,121
-2.85938,0.234375,0,0,0,0,0,0,0,0.0619579,0.00624431,0.000211742,0.0508644,3.03102e-314,122
-2.85938,0.234375,0.08,0,0,0,0,0,0,0.0619579,0.00624431,0.000211742,0.0508644,3.03102e-314,123
-2.85938,0.234375,0.16,0,0,0,0,0,0,0.0619579,0.00624431,0.000211742,0.0508644,3.03102e-314,124
-2.85938,0.328125,-0.16,0,0,0,0,0,0,0.0619579,0.00557404,0.000175233,0.0471561,3.03102e-314,125
-2.85938,0.328125,-0.08,0,0,0,0,0,0,0.0619579,0.00557404,0.000175233,0.0471561,3.03102e-314,126
-2.85938,0.328125,0,0,0,0,0,0,0,0.0619579,0.00557404,0.000175233,0.0471561,3.03102e-314,127
-2.85938,0.328125,0.08,0,0,0,0,0,0,0.0619579,0.00557404,0.000175233,0.0471561,3.03102e-314,128
-2.85938,0.328125,0.16,0,0,0,0,0,0,0.0619579,0.00557404,0.000175233,0.0471561,3.03102e-314,129
-2.85938,0.421875,-0.16,0,0,0,0,0,0,0.0619579,0.00472967,0.000133266,0.0422648,3.03102e-314,130
-2.85938,0.421875,-0.08,0,0,0,0,0,0,0.0619579,0.00472967,0.000133266,0.0422648,3.03102e-314,131
-2.85938,0.421875,0,0,0,0,0,0,0,0.0619579,0.00472967,0.000133266,0.0422648,3.03102e-314,132
-2.85938,0.421875,0.08,0,0,0,0,0,0,0.0619579,0.00472967,0.000133266,0.0422648,3.03102e-314,133
-2.85938,0.421875,0.16,0,0,0,0,0,0,0.0619579,0.00472967,0.000133266,0.0422648,3.03102e-314,134
-2.85938,0.515625,-0.16,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,135
-2.85938,0.515625,-0.08,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,136
-2.85938,0.515625,0,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,137
-2.85938,0.515625,0.08,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,138
-2.85938,0.515625,0.16,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,139
-2.85938,0.609375,-0.16,0,0,0,0,0,0,0.0619579,0.00270476,5.25068e-05,0.0291191,3.03102e-314,140
-2.85938,0.609375,-0.08,0,0,0,0,0,0,0.0619579,0.00270476,5.25068e-05,0.0291191,3.03102e-314,141
-2.85938,0.609375,0,0,0,0,0,0,0,0.0619579,0.00270476,5.25068e-05,0.0291191,3.03102e-314,142
-2.85938,0.609375,0.08,0,0,0,0,0,0,0.0619579,0.00270476,5.25068e-05,0.0291191,3.03102e-314,143
-2.85938,0.609375,0.16,0,0,0,0,0,0,0.0619579,0.00270476,5.25068e-05,0.0291191,3.03102e-314,144
-2.85938,0.703125,-0.16,0,0,0,0,0,0,0.0619579,0.00165412,2.31355e-05,0.0209799,3.03102e-314,145
-2.85938,0.703125,-0.08,0,0,0,0,0,0,0.0619579,0.00165412,2.31355e-05,0.0209799,3.03102e-314,146
-2.85938,0.703125,0,0,0,0,0,0,0,0.0619579,0.00165412,2.31355e-05,0.0209799,3.03102e-314,147
-2.85938,0.703125,0.08,0,0,0,0,0,0,0.0619579,0.00165412,2.31355e-05,0.0209799,3.03102e-314,148
-2.85938,0.703125,0.16,0,0,0,0,0,0,0.0619579,0.00165412,2.31355e-05,0.0209799,3.03102e-314,149
-2.85938,0.796875,-0.16,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,150
-2.85938,0.796875,-0.08,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,151
-2.85938,0.796875,0,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,152
-2.85938,0.796875,0.08,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,153
-2.85938,0.796875,0.16,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,154
-2.85938,0.890625,-0.16,0,0,0,0,0,0,0.0619579,4.54452e-05,5.78736e-08,0.00191022,3.03102e-314,155
-2.85938,0.890625,-0.08,0,0,0,0,0,0,0.0619579,4.54452e-05,5.78736e-08,0.00191022,3.03102e-314,156
-2.85938,0.890625,0,0,0,0,0,0,0,0.0619579,4.54452e-05,5.78736e-08,0.00191022,3.03102e-314,157
-2.85938,0.890625,0.08,0,0,0,0,0,0,0.0619579,4.54452e-05,5.78736e-08,0.00191022,3.03102e-314,158
-2.85938,0.890625,0.16,0,0,0,0,0,0,0.0619579,4.54452e-05,5.78736e-08,0.00191022,3.03102e-314,159
-2.76562,-1.07812,-0.16,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,160
-2.76562,-1.07812,-0.08,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,161
-2.76562,-1.07812,0,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,162
-2.76562,-1.07812,0.08,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,163
-2.76562,-1.07812,0.16,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,164
-2.76562,-0.984375,-0.16,0,0,0,0,0,0,0.0619579,0.00208066,3.39106e-05,0.024447,3.03102e-314,165
-2.76562,-0.984375,-0.08,0,0,0,0,0,0,0.0619579,0.00208066,3.39106e-05,0.024447,3.03102e-314,166
-2.76562,-0.984375,0,0,0,0,0,0,0,0.0619579,0.00208066,3.39106e-05,0.024447,3.03102e-314,167
-2.76562,-0.984375,0.08,0,0,0,0,0,0,0.0619579,0.00208066,3.39106e-05,0.024447,3.03102e-314,168
-2.76562,-0.984375,0.16,0,0,0,0,0,0,0.0619579,0.00208066,3.39106e-05,0.024447,3.03102e-314,169
-2.76562,-0.890625,-0.16,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,170
-2.76562,-0.890625,-0.08,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,171
-2.76562,-0.890625,0,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,172
-2.76562,-0.890625,0.08,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,173
