time [s],pos_x [m],vel_x [m/s],acc_x [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor,ene_floored
1.620603e-01,1.945000e+00,1.140142e-06,2.899497e-05,2.500000e-03,2.499997e-01,1.999996e-01,1.999999e+00,3.000003e-01,394,60,1.000000e+00,-7.161691e-09,9.999989e-01,0
1.620603e-01,1.955000e+00,1.434110e-06,3.752368e-05,2.500000e-03,2.499996e-01,1.999995e-01,1.999999e+00,3.000004e-01,395,60,1.000000e+00,-7.371631e-09,9.999991e-01,0
1.620603e-01,1.965000e+00,1.789556e-06,4.813896e-05,2.500000e-03,2.499995e-01,1.999994e-01,1.999999e+00,3.000004e-01,396,60,1.000000e+00,-7.387230e-09,9.999993e-01,0
1.620603e-01,1.975000e+00,2.214985e-06,6.118524e-05,2.500000e-03,2.499995e-01,1.999994e-01,1.999998e+00,3.000005e-01,397,61,1.000000e+00,-7.103868e-09,0.000000e+00,0
1.620603e-01,1.985000e+00,2.718913e-06,7.700866e-05,2.500000e-03,2.499994e-01,1.999993e-01,1.999998e+00,3.000006e-01,398,61,1.000000e+00,-6.376749e-09,9.999999e-01,0
1.620603e-01,1.995000e+00,3.309659e-06,9.594083e-05,2.500000e-03,2.499993e-01,1.999992e-01,1.999998e+00,3.000007e-01,399,61,1.000000e+00,-5.010555e-09,9.999993e-01,0
1.620603e-01,2.005000e+00,3.995199e-06,1.182810e-04,2.500000e-03,2.499992e-01,1.999991e-01,1.999997e+00,3.000008e-01,400,61,1.000000e+00,-2.748328e-09,9.999984e-01,0
1.620603e-01,2.015000e+00,4.783145e-06,1.442783e-04,2.500000e-03,2.499991e-01,1.999991e-01,1.999997e+00,3.000008e-01,401,61,1.000000e+00,7.398289e-10,9.999972e-01,0
1.620603e-01,2.025000e+00,5.680929e-06,1.741167e-04,2.500000e-03,2.499990e-01,1.999990e-01,1.999997e+00,3.000010e-01,402,61,1.000000e+00,5.867426e-09,9.999956e-01,0
1.620603e-01,2.035000e+00,6.696273e-06,2.079057e-04,2.500000e-03,2.499989e-01,1.999989e-01,1.999996e+00,3.000011e-01,403,61,1.000000e+00,1.314066e-08,9.999936e-01,0
1.620603e-01,2.045000e+00,7.838011e-06,2.456804e-04,2.500000e-03,2.499987e-01,1.999988e-01,1.999996e+00,3.000012e-01,404,61,1.000000e+00,2.316472e-08,9.999911e-01,0
1.620603e-01,2.055000e+00,9.117318e-06,2.874137e-04,2.500000e-03,2.499986e-01,1.999988e-01,1.999996e+00,3.000013e-01,405,61,1.000000e+00,3.664616e-08,9.999879e-01,0
1.620603e-01,2.065000e+00,1.054936e-05,3.330451e-04,2.500000e-03,2.499985e-01,1.999988e-01,1.999995e+00,3.000014e-01,406,61,1.000000e+00,5.439010e-08,9.999839e-01,0
1.620603e-01,2.075000e+00,1.215534e-05,3.825263e-04,2.500000e-03,2.499984e-01,1.999989e-01,1.999995e+00,3.000014e-01,407,61,1.000000e+00,7.729148e-08,9.999789e-01,0
1.620603e-01,2.085000e+00,1.396469e-05,4.358842e-04,2.500000e-03,2.499983e-01,1.999990e-01,1.999995e+00,3.000015e-01,408,61,1.000000e+00,1.063197e-07,9.999729e-01,0
1.620603e-01,2.095000e+00,1.601738e-05,4.932987e-04,2.500000e-03,2.499983e-01,1.999992e-01,1.999995e+00,3.000015e-01,409,61,1.000000e+00,1.424973e-07,9.999654e-01,0
1.620603e-01,2.105001e+00,1.836570e-05,5.551869e-04,2.500000e-03,2.499984e-01,1.999995e-01,1.999995e+00,3.000014e-01,410,61,1.000000e+00,1.868731e-07,9.999565e-01,0
1.620603e-01,2.115001e+00,2.107511e-05,6.222823e-04,2.500000e-03,2.499986e-01,2.000001e-01,1.999996e+00,3.000012e-01,411,61,1.000000e+00,2.404946e-07,9.999457e-01,0
1.620603e-01,2.125001e+00,2.422347e-05,6.956904e-04,2.500000e-03,2.499989e-01,2.000008e-01,1.999997e+00,3.000009e-01,412,61,1.000000e+00,3.043819e-07,9.999327e-01,0
