time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor
2.82065,42.7166,12.7568,0,-50.2771,22.7955,0,-105.338,17.9135,0,0.00372096,0.989835,0.983116,92.0296,1.87853,59,2403,2,4.1041e-314,0.970134
2.82065,42.6417,12.7532,0,-50.3064,22.9155,0,-104.711,18.1725,0,0.00372096,0.989734,0.982949,105.778,1.87862,60,2403,2,4.1041e-314,0.965196
2.82065,42.1793,12.9491,0,-50.7705,22.6637,0,-107.143,17.3872,0,0.00372096,0.989634,0.982783,153.248,1.87872,61,2406,2,4.1041e-314,0.979144
2.82065,42.2689,12.886,0,-50.6522,22.8317,0,-106.117,17.9839,0,0.00372096,0.989534,0.982618,158.175,1.87881,62,2414,2,4.1041e-314,0.97218
2.82065,42.8674,12.8244,0,-50.2999,22.2771,0,-105.164,16.2264,0,0.00372096,0.989435,0.982453,70.2878,1.87891,63,2393,2,4.1041e-314,0.984096
2.82065,42.349,12.8555,0,-50.5698,22.8587,0,-106.098,17.684,0,0.00372096,0.989335,0.982288,155.472,1.879,64,2413,2,4.1041e-314,0.970997
2.82065,42.4236,13.0232,0,-50.7803,21.9568,0,-106.393,15.4209,0,0.00372096,0.989235,0.982123,155.399,1.8791,65,2389,2,4.1041e-314,0.978022
2.82065,42.3498,13.0244,0,-50.812,22.0587,0,-106.798,16.0771,0,0.00372096,0.989136,0.98196,159.776,1.87919,66,2396,2,4.1041e-314,0.983854
2.82065,42.6759,12.9643,0,-50.5851,21.892,0,-106.554,15.3508,0,0.00372096,0.989038,0.981797,111.103,1.87928,67,2396,2,4.1041e-314,0.973471
2.82065,42.8669,12.8493,0,-50.3461,22.1589,0,-105.738,16.1758,0,0.00372096,0.988939,0.981634,72.168,1.87938,68,2394,2,4.1041e-314,0.984629
2.82065,42.1268,13.027,0,-50.9153,22.3701,0,-107.272,16.8286,0,0.00372096,0.988841,0.981471,145.354,1.87947,69,2403,2,4.1041e-314,0.985248
2.82065,42.1259,13.0487,0,-50.9519,22.2685,0,-107.368,16.7321,0,0.00372096,0.988742,0.981308,144.661,1.87956,70,2401,2,4.1041e-314,0.985707
2.82065,42.2818,13.059,0,-50.8887,21.9959,0,-107.146,16.0362,0,0.00372096,0.988645,0.981146,159.477,1.87966,71,2397,2,4.1041e-314,0.978993
2.82065,42.92,12.8575,0,-50.3159,22.0665,0,-105.303,15.696,0,0.00372096,0.988547,0.980985,63.8607,1.87975,72,2389,2,4.1041e-314,0.979205
2.82065,42.5865,12.9975,0,-50.6672,21.8627,0,-106.129,15.5118,0,0.00372096,0.98845,0.980823,129.63,1.87984,73,2399,2,4.1041e-314,0.971194
2.82065,42.5528,12.7785,0,-50.3874,22.9264,0,-105.551,18.2864,0,0.00372096,0.988352,0.980662,124.69,1.87994,74,2414,2,4.1041e-314,0.965903
2.82065,42.7269,12.7294,0,-50.229,22.9105,0,-105.074,18.3869,0,0.00372096,0.988255,0.980501,88.7834,1.88003,75,2408,2,4.1041e-314,0.964492
2.82065,42.2645,12.8596,0,-50.6172,22.9569,0,-106.129,18.3136,0,0.00372096,0.988158,0.980341,157.907,1.88012,76,2411,2,4.1041e-314,0.965377
2.82065,42.9061,12.7753,0,-50.2151,22.4491,0,-105.444,17.211,0,0.00372096,0.988061,0.980181,62.95,1.88021,77,2399,2,4.1041e-314,0.98004
2.82065,42.3369,12.8353,0,-50.5471,22.9727,0,-106.148,17.8419,0,0.00372096,0.987965,0.980022,155.913,1.8803,78,2412,2,4.1041e-314,0.965433
2.82065,42.8686,12.7611,0,-50.2132,22.5647,0,-105.577,17.2529,0,0.00372096,0.987868,0.979862,67.6209,1.8804,79,2406,2,4.1041e-314,0.977653
2.82065,42.8047,12.734,0,-50.2119,22.7677,0,-104.952,17.6544,0,0.00372096,0.987771,0.979702,76.2305,1.88049,80,2403,2,4.1041e-314,0.970179
2.82065,42.0914,13.0132,0,-50.9099,22.4874,0,-107.22,17.0303,0,0.00372096,0.987675,0.979544,140.604,1.88058,81,2404,2,4.1041e-314,0.982212
2.82065,42.8008,12.9151,0,-50.4591,21.96,0,-105.677,15.6267,0,0.00372096,0.98758,0.979385,85.4522,1.88067,82,2390,2,4.1041e-314,0.976736
2.82065,42.1942,13.066,0,-50.9489,22.0879,0,-107.736,16.2755,0,0.00372096,0.987484,0.979227,153.529,1.88076,83,2398,2,4.1041e-314,0.981365
2.82065,42.4139,12.8174,0,-50.4831,22.9527,0,-105.608,18.223,0,0.00372096,0.987388,0.979069,148.304,1.88085,84,2414,2,4.1041e-314,0.966288
2.82065,42.358,12.8084,0,-50.5003,23.0722,0,-106.157,18.3695,0,0.00372096,0.987292,0.97891,153.628,1.88094,85,2421,2,4.1041e-314,0.959459
2.82065,42.1927,12.8928,0,-50.6838,22.9145,0,-106.946,18.1637,0,0.00372096,0.987197,0.978753,155.46,1.88103,86,2416,2,4.1041e-314,0.968657
2.82065,42.35,13.0532,0,-50.8537,21.9225,0,-106.597,15.7569,0,0.00372096,0.987102,0.978596,160.93,1.88113,87,2400,2,4.1041e-314,0.974952
2.82065,42.1334,12.934,0,-50.7766,22.7959,0,-107.467,17.6708,0,0.00372096,0.987007,0.978439,148.749,1.88122,88,2411,2,4.1041e-314,0.972855
2.82065,42.1117,13.0736,0,-50.9956,22.1758,0,-107.733,16.5333,0,0.00372096,0.986912,0.978282,141.91,1.88131,89,2398,2,4.1041e-314,0.981883
2.82065,42.9276,12.7948,0,-50.2411,22.3229,0,-105.288,16.6502,0,0.00372096,0.986817,0.978125,61.4853,1.8814,90,2401,2,4.1041e-314,0.981922
2.82065,42.8047,12.7101,0,-50.1814,22.8747,0,-105.071,18.2828,0,0.00372096,0.986722,0.977968,75.3169,1.88149,91,2406,2,4.1041e-314,0.963704
2.82065,42.6413,12.7274,0,-50.2697,23.0303,0,-104.796,18.589,0,0.00372096,0.986627,0.977812,104.544,1.88158,92,2410,2,4.1041e-314,0.958717
2.82065,42.5066,13.0277,0,-50.7359,21.8303,0,-106.148,15.1041,0,0.00372096,0.986533,0.977656,144.233,1.88167,93,2393,2,4.1041e-314,0.969135
2.82065,42.4186,13.0521,0,-50.8211,21.834,0,-106.544,15.3861,0,0.00372096,0.986439,0.9775,156.662,1.88176,94,2389,2,4.1041e-314,0.969537
2.82065,42.8872,12.8877,0,-50.3724,21.9718,0,-105.858,15.7742,0,0.00372096,0.986344,0.977344,69.8366,1.88185,95,2394,2,4.1041e-314,0.976061
2.82065,42.5625,12.7506,0,-50.342,23.0345,0,-105.028,18.6566,0,0.00372096,0.98625,0.977188,121.06,1.88194,96,2407,2,4.1041e-314,0.958281
2.82065,42.7745,12.9434,0,-50.5039,21.8659,0,-105.732,15.2521,0,0.00372096,0.986156,0.977033,91.2545,1.88203,97,2388,2,4.1041e-314,0.971218
2.82065,42.0441,13.0488,0,-50.9874,22.3949,0,-107.517,17.0006,0,0.00372096,0.986062,0.976878,130.946,1.88212,98,2403,2,4.1041e-314,0.982431
2.82065,42.6416,12.9988,0,-50.6442,21.7813,0,-106.093,15.0518,0,0.00372096,0.985968,0.976724,119.742,1.88221,99,2392,2,4.1041e-314,0.966821
2.82065,42.9274,12.7333,0,-50.1472,22.6028,0,-105.031,17.336,0,0.00372096,0.985875,0.976569,58.8672,1.8823,100,2395,2,4.1041e-314,0.974346
2.82065,42.0732,12.9945,0,-50.8953,22.5987,0,-106.994,17.187,0,0.00372096,0.985781,0.976414,138.412,1.88239,101,2404,2,4.1041e-314,0.978618
2.82065,42.1136,12.9188,0,-50.7683,22.8962,0,-107.668,17.8297,0,0.00372096,0.985687,0.976259,146.436,1.88248,102,2410,2,4.1041e-314,0.967992
2.82065,42.4752,12.7899,0,-50.4236,22.9906,0,-105.634,18.1983,0,0.00372096,0.985594,0.976105,138.781,1.88256,103,2419,2,4.1041e-314,0.96323
2.82065,42.7381,12.971,0,-50.55,21.7912,0,-106.175,15.3215,0,0.00372096,0.985501,0.975952,98.4213,1.88265,104,2392,2,4.1041e-314,0.96676
2.82065,42.2043,12.8629,0,-50.6355,23.0377,0,-106.665,18.259,0,0.00372096,0.985408,0.975798,156.699,1.88274,105,2408,2,4.1041e-314,0.961409
2.82065,42.0943,12.9631,0,-50.8407,22.7139,0,-107.529,17.4538,0,0.00372096,0.985315,0.975644,142.837,1.88283,106,2415,2,4.1041e-314,0.975044
2.82065,42.6192,13.029,0,-50.6929,21.6766,0,-106.398,14.7394,0,0.00372096,0.985221,0.975491,124.904,1.88292,107,2388,2,4.1041e-314,0.960496
2.82065,42.9699,12.7542,0,-50.158,22.4484,0,-104.952,17.278,0,0.00372096,0.985128,0.975337,54.6545,1.88301,108,2401,2,4.1041e-314,0.978067
2.82065,42.1312,12.8818,0,-50.7085,23.0435,0,-107.25,18.2464,0,0.00372096,0.985036,0.975184,149.223,1.8831,109,2416,2,4.1041e-314,0.960838
2.82065,42.4836,12.7642,0,-50.3819,23.0974,0,-105.521,18.6145,0,0.00372096,0.984943,0.975031,135.95,1.88319,110,2414,2,4.1041e-314,0.956834
2.82065,42.8659,12.7314,0,-50.1714,22.6989,0,-105.271,17.7737,0,0.00372096,0.98485,0.974878,66.8978,1.88328,111,2407,2,4.1041e-314,0.972081
2.82065,42.2587,12.8345,0,-50.5693,23.0987,0,-106.102,18.4752,0,0.00372096,0.984758,0.974725,158.851,1.88336,112,2414,2,4.1041e-314,0.959072
2.82065,42.2629,13.0909,0,-50.9478,21.8741,0,-107.1,15.9041,0,0.00372096,0.984665,0.974573,159.646,1.88345,113,2402,2,4.1041e-314,0.971369
2.82065,42.8576,12.9252,0,-50.4365,21.847,0,-105.998,15.4592,0,0.00372096,0.984572,0.97442,75.8286,1.88354,114,2388,2,4.1041e-314,0.969664
2.82065,41.9924,13.0429,0,-51.0079,22.4911,0,-107.621,17.5162,0,0.00372096,0.98448,0.974268,121.901,1.88363,115,2405,2,4.1041e-314,0.978861
2.82065,42.5435,13.0401,0,-50.7438,21.7228,0,-106.391,15.1352,0,0.00372096,0.984388,0.974116,139.971,1.88372,116,2384,2,4.1041e-314,0.963401
2.82065,42.0043,13.0777,0,-51.0504,22.3217,0,-108.047,16.985,0,0.00372096,0.984296,0.973964,122.358,1.8838,117,2401,2,4.1041e-314,0.980256
2.82065,42.9455,12.7029,0,-50.0975,22.7106,0,-104.876,17.6491,0,0.00372096,0.984204,0.973812,55.7056,1.88389,118,2399,2,4.1041e-314,0.968866
2.82065,42.2042,13.0897,0,-50.9755,21.9663,0,-107.654,16.1468,0,0.00372096,0.984112,0.97366,154.616,1.88398,119,2394,2,4.1041e-314,0.975274
2.82065,42.8376,12.9565,0,-50.4847,21.7368,0,-105.233,15.196,0,0.00372096,0.98402,0.973508,80.0184,1.88407,120,2389,2,4.1041e-314,0.963169
