time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh
0,0.206707,-0.102623,0,0,0,0,0,0,0,0.00310059,0.987071,0.978545,1.48704,4.81221e+233,53,83886081,3.01293e-314,2.1026e-297
0,-0.0331468,-0.230534,0,0,0,0,0,0,0,0.00310059,0.986939,0.978327,1.48691,4.81221e+233,54,83886081,3.01293e-314,2.1026e-297
0,-0.108723,0.20837,0,0,0,0,0,0,0,0.00310059,0.986807,0.978109,1.48678,4.81221e+233,55,83886081,3.01293e-314,2.1026e-297
0,-0.214301,-0.101574,0,0,0,0,0,0,0,0.00310059,0.986675,0.977891,1.48665,4.81221e+233,56,83886081,3.01293e-314,2.1026e-297
0,-0.237232,-0.0312336,0,0,0,0,0,0,0,0.00310059,0.986544,0.977673,1.48651,4.81221e+233,57,83886081,3.01293e-314,2.1026e-297
0,0.234214,-0.058301,0,0,0,0,0,0,0,0.00310059,0.986413,0.977457,1.48638,4.81221e+233,58,83886081,3.01293e-314,2.1026e-297
0,0.136222,-0.201712,0,0,0,0,0,0,0,0.00310059,0.986283,0.977243,1.48625,4.81221e+233,59,83886081,3.01293e-314,2.1026e-297
0,-0.0041326,-0.245406,0,0,0,0,0,0,0,0.00310059,0.986153,0.977029,1.48612,4.81221e+233,60,83886081,3.01293e-314,2.1026e-297
0,-0.239824,-0.0610821,0,0,0,0,0,0,0,0.00310059,0.986024,0.976815,1.48599,4.81221e+233,61,83886081,3.01293e-314,2.1026e-297
0,-0.213362,-0.129371,0,0,0,0,0,0,0,0.00310059,0.985894,0.976601,1.48586,4.81221e+233,62,83886081,3.01293e-314,2.1026e-297
0,0.245543,-0.054472,0,0,0,0,0,0,0,0.00310059,0.985766,0.976389,1.48573,4.81221e+233,63,83886081,3.01293e-314,2.1026e-297
0,-0.198282,-0.157903,0,0,0,0,0,0,0,0.00310059,0.985638,0.976178,1.4856,4.81221e+233,64,83886081,3.01293e-314,2.1026e-297
0,-0.0415419,0.252034,0,0,0,0,0,0,0,0.00310059,0.98551,0.975967,1.48547,4.81221e+233,65,83886081,3.01293e-314,2.1026e-297
0,-0.0737866,0.246593,0,0,0,0,0,0,0,0.00310059,0.985382,0.975756,1.48535,4.81221e+233,66,83886081,3.01293e-314,2.1026e-297
0,0.131649,0.22346,0,0,0,0,0,0,0,0.00310059,0.985255,0.975545,1.48522,4.81221e+233,67,83886081,3.01293e-314,2.1026e-297
0,0.260022,0.0256287,0,0,0,0,0,0,0,0.00310059,0.985128,0.975336,1.48509,4.81221e+233,68,83886081,3.01293e-314,2.1026e-297
0,-0.233275,0.121826,0,0,0,0,0,0,0,0.00310059,0.985002,0.975128,1.48496,4.81221e+233,69,83886081,3.01293e-314,2.1026e-297
0,-0.209316,0.162612,0,0,0,0,0,0,0,0.00310059,0.984876,0.97492,1.48484,4.81221e+233,70,83886081,3.01293e-314,2.1026e-297
