time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor
0.0,0.208156,-0.28197,0,0,0,0,0.358552,-0.214847,nan,0.00372096,0.987771,0.979702,1.48775,0.470122,80,172,2,3.02513e-314,0.992598
0.0,-0.297937,0.0809014,0,0,0,0,-0.112567,0.162896,nan,0.00372096,0.987675,0.979544,1.48765,0.470145,81,197,2,3.02513e-314,0.993441
0.0,0.299958,0.175212,0,0,0,0,0.231222,0.261262,nan,0.00372096,0.98758,0.979385,1.48755,0.470168,82,175,2,3.02513e-314,0.992544
0.0,-0.172851,0.26991,0,0,0,0,-0.119015,0.403997,nan,0.00372096,0.987484,0.979227,1.48746,0.47019,83,199,2,3.02513e-314,0.993812
0.0,-0.103551,-0.267871,0,0,0,0,-0.0532379,-0.131986,nan,0.00372096,0.987388,0.979069,1.48736,0.470213,84,182,2,3.02513e-314,0.994137
0.0,-0.159631,-0.3187,0,0,0,0,0.016646,-0.211226,nan,0.00372096,0.987292,0.97891,1.48727,0.470236,85,181,2,3.02513e-314,0.993229
0.0,-0.269999,-0.182529,0,0,0,0,-0.0290684,0.0779174,nan,0.00372096,0.987197,0.978753,1.48717,0.470259,86,179,2,3.02513e-314,0.99327
0.0,-0.0376272,0.314427,0,0,0,0,-0.0163165,0.40627,nan,0.00372096,0.987102,0.978596,1.48707,0.470281,87,195,2,3.02513e-314,0.994041
0.0,-0.300258,-0.103081,0,0,0,0,-0.129804,0.0210574,nan,0.00372096,0.987007,0.978439,1.48698,0.470304,88,185,2,3.02513e-314,0.99319
0.0,-0.246714,0.247756,0,0,0,0,0.218717,0.318317,nan,0.00372096,0.986912,0.978282,1.48688,0.470327,89,196,2,3.02513e-314,0.993296
0.0,0.356768,-0.067064,0,0,0,0,0.271735,-0.0250071,nan,0.00372096,0.986817,0.978125,1.48679,0.470349,90,170,2,3.02513e-314,0.991719
0.0,0.196372,-0.342874,0,0,0,0,0.283733,-0.237281,nan,0.00372096,0.986722,0.977968,1.48669,0.470372,91,167,2,3.02513e-314,0.991107
0.0,0.0583326,-0.380007,0,0,0,0,0.190298,-0.227799,nan,0.00372096,0.986627,0.977812,1.4866,0.470394,92,179,2,3.02513e-314,0.991555
0.0,0.0867935,0.322662,0,0,0,0,0.191123,0.451521,nan,0.00372096,0.986533,0.977656,1.4865,0.470417,93,186,2,3.02513e-314,0.994034
0.0,0.0223247,0.344317,0,0,0,0,0.0791608,0.399371,nan,0.00372096,0.986439,0.9775,1.48641,0.470439,94,185,2,3.02513e-314,0.994011
0.0,0.362247,0.144921,0,0,0,0,0.490517,0.383729,nan,0.00372096,0.986344,0.977344,1.48631,0.470462,95,181,2,3.02513e-314,0.990943
0.0,-0.00136343,-0.359166,0,0,0,0,0.185593,-0.0850407,nan,0.00372096,0.98625,0.977188,1.48622,0.470484,96,181,2,3.02513e-314,0.992609
0.0,0.288414,0.235358,0,0,0,0,0.29601,0.426689,nan,0.00372096,0.986156,0.977033,1.48612,0.470507,97,179,2,3.02513e-314,0.992492
0.0,-0.322042,0.147112,0,0,0,0,0.000500864,0.459436,nan,0.00372096,0.986062,0.976878,1.48603,0.470529,98,199,2,3.02513e-314,0.992982
0.0,0.193612,0.313512,0,0,0,0,0.338227,0.339117,nan,0.00372096,0.985968,0.976724,1.48594,0.470552,99,188,2,3.02513e-314,0.993565
0.0,0.322715,-0.225106,0,0,0,0,0.592561,0.0596033,nan,0.00372096,0.985875,0.976569,1.48584,0.470574,100,170,2,3.02513e-314,0.99173
0.0,-0.322802,0.0234813,0,0,0,0,-0.0542121,0.111861,nan,0.00372096,0.985781,0.976414,1.48575,0.470596,101,186,2,3.02513e-314,0.993011
0.0,-0.326241,-0.153668,0,0,0,0,-0.074573,-0.210516,nan,0.00372096,0.985687,0.976259,1.48565,0.470619,102,184,2,3.02513e-314,0.992284
0.0,-0.0596213,-0.304874,0,0,0,0,0.125652,-0.0387274,nan,0.00372096,0.985594,0.976105,1.48556,0.470641,103,181,2,3.02513e-314,0.993569
0.0,0.264533,0.285477,0,0,0,0,0.325909,0.50996,nan,0.00372096,0.985501,0.975952,1.48547,0.470663,104,185,2,3.02513e-314,0.992706
0.0,-0.275376,-0.254917,0,0,0,0,-0.0547418,-0.101309,nan,0.00372096,0.985408,0.975798,1.48537,0.470685,105,178,2,3.02513e-314,0.992594
0.0,-0.319868,-0.0473044,0,0,0,0,-0.188281,0.125185,nan,0.00372096,0.985315,0.975644,1.48528,0.470708,106,184,2,3.02513e-314,0.992904
