time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor,ene_floored
0.000000e+00,-2.940000e+00,1.800000e-01,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.727706e-03,5.325118e-05,2.928350e-02,3.015988e-314,33,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,1.800000e-01,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.727706e-03,5.325118e-05,2.928350e-02,3.015988e-314,34,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,3.000000e-01,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.026128e-03,3.244228e-05,2.401794e-02,3.015988e-314,35,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,3.000000e-01,-8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.026128e-03,3.244228e-05,2.401794e-02,3.015988e-314,36,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,3.000000e-01,-6.938894e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.026128e-03,3.244228e-05,2.401794e-02,3.015988e-314,37,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,3.000000e-01,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.026128e-03,3.244228e-05,2.401794e-02,3.015988e-314,38,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,3.000000e-01,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.026128e-03,3.244228e-05,2.401794e-02,3.015988e-314,39,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,4.200000e-01,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.120704e-03,1.209162e-05,1.618397e-02,3.015988e-314,40,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,4.200000e-01,-8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.120704e-03,1.209162e-05,1.618397e-02,3.015988e-314,41,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,4.200000e-01,-6.938894e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.120704e-03,1.209162e-05,1.618397e-02,3.015988e-314,42,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,4.200000e-01,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.120704e-03,1.209162e-05,1.618397e-02,3.015988e-314,43,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,4.200000e-01,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.120704e-03,1.209162e-05,1.618397e-02,3.015988e-314,44,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,5.400000e-01,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.439801e-04,9.526294e-07,5.856806e-03,3.015988e-314,45,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,5.400000e-01,-8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.439801e-04,9.526294e-07,5.856806e-03,3.015988e-314,46,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
